PAAC4_A,PAAC4_C,PAAC4_D,PAAC4_E,PAAC4_F,PAAC4_G,PAAC4_H,PAAC4_I,PAAC4_K,PAAC4_L,PAAC4_M,PAAC4_N,PAAC4_P,PAAC4_Q,PAAC4_R,PAAC4_S,PAAC4_T,PAAC4_V,PAAC4_W,PAAC4_Y,PAAC4_lam1,PAAC4_lam2,PAAC4_lam3,PAAC4_lam4
0.0,0.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,18.18,18.18,0.0,9.09,0.0,9.09,0.1171,0.0703,0.0587,0.0869
0.0,0.0,0.0,0.0,9.09,27.27,0.0,9.09,0.0,9.09,0.0,0.0,9.09,0.0,9.09,9.09,18.18,0.0,0.0,0.0,0.0789,0.0571,0.0516,0.0867
9.09,0.0,9.09,9.09,9.09,9.09,0.0,9.09,0.0,0.0,0.0,0.0,27.27,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0655,0.1014,0.0911,0.0717
9.09,0.0,0.0,0.0,9.09,18.18,0.0,9.09,0.0,18.18,0.0,0.0,18.18,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0718,0.0545,0.0444,0.0854
9.09,0.0,9.09,0.0,18.18,0.0,0.0,0.0,9.09,0.0,9.09,18.18,0.0,0.0,9.09,9.09,9.09,0.0,0.0,0.0,0.0862,0.0614,0.0604,0.0834
9.09,0.0,0.0,9.09,0.0,9.09,9.09,0.0,9.09,18.18,9.09,0.0,0.0,0.0,9.09,9.09,9.09,0.0,0.0,0.0,0.0763,0.0871,0.0666,0.0884
9.09,0.0,0.0,0.0,0.0,27.27,0.0,9.09,0.0,0.0,0.0,0.0,36.36,9.09,0.0,0.0,0.0,0.0,9.09,0.0,0.0586,0.0609,0.0579,0.0873
0.0,0.0,18.18,0.0,9.09,0.0,0.0,0.0,0.0,9.09,0.0,0.0,27.27,0.0,9.09,18.18,0.0,9.09,0.0,0.0,0.0595,0.0947,0.0793,0.0691
9.09,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,18.18,0.0,9.09,9.09,0.0,18.18,0.1042,0.0757,0.1158,0.0945
0.0,0.0,9.09,0.0,18.18,9.09,0.0,0.0,0.0,0.0,0.0,0.0,27.27,0.0,9.09,0.0,9.09,18.18,0.0,0.0,0.0978,0.0579,0.0591,0.0731
0.0,18.18,0.0,0.0,9.09,0.0,0.0,18.18,0.0,0.0,9.09,0.0,18.18,0.0,9.09,0.0,9.09,0.0,0.0,9.09,0.0623,0.0733,0.0441,0.0646
0.0,0.0,0.0,0.0,0.0,18.18,0.0,9.09,0.0,0.0,0.0,0.0,45.45,18.18,9.09,0.0,0.0,0.0,0.0,0.0,0.0586,0.0524,0.0845,0.079
0.0,0.0,0.0,0.0,9.09,18.18,0.0,9.09,0.0,0.0,9.09,0.0,18.18,0.0,9.09,18.18,0.0,9.09,0.0,0.0,0.0753,0.0545,0.0468,0.0891
0.0,0.0,0.0,9.09,9.09,9.09,9.09,0.0,0.0,9.09,9.09,9.09,18.18,9.09,0.0,0.0,0.0,9.09,0.0,0.0,0.0449,0.0609,0.0493,0.0504
0.0,0.0,27.27,0.0,0.0,0.0,0.0,0.0,9.09,18.18,9.09,0.0,0.0,0.0,9.09,0.0,18.18,9.09,0.0,0.0,0.0613,0.0954,0.0853,0.0588
