PAAC4_A,PAAC4_C,PAAC4_D,PAAC4_E,PAAC4_F,PAAC4_G,PAAC4_H,PAAC4_I,PAAC4_K,PAAC4_L,PAAC4_M,PAAC4_N,PAAC4_P,PAAC4_Q,PAAC4_R,PAAC4_S,PAAC4_T,PAAC4_V,PAAC4_W,PAAC4_Y,PAAC4_lam1,PAAC4_lam2,PAAC4_lam3,PAAC4_lam4
27.27,0.0,9.09,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0,9.09,9.09,0.0,0.0,0.0,0.0,18.18,0.0,9.09,0.0778,0.057999999999999996,0.0542,0.06
0.0,54.55,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,18.18,0.0,0.0,0.0,0.0245,0.0209,0.025,0.0262
0.0,0.0,9.09,18.18,9.09,9.09,9.09,0.0,0.0,9.09,9.09,0.0,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0466,0.0772,0.0639,0.0536
0.0,0.0,0.0,18.18,9.09,9.09,9.09,0.0,0.0,9.09,9.09,9.09,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0473,0.0646,0.0524,0.0538
0.0,0.0,9.09,18.18,18.18,9.09,0.0,0.0,0.0,9.09,9.09,9.09,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499,0.0762,0.0665,0.0656
0.0,0.0,9.09,18.18,9.09,9.09,0.0,0.0,0.0,9.09,9.09,9.09,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0443,0.0728,0.0622,0.06
0.0,0.0,0.0,18.18,18.18,9.09,0.0,0.0,0.0,9.09,9.09,18.18,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.0656,0.053,0.0662
0.0,18.18,0.0,0.0,9.09,0.0,0.0,18.18,0.0,0.0,9.09,0.0,18.18,0.0,9.09,0.0,9.09,0.0,0.0,9.09,0.0623,0.0733,0.0441,0.0646
0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,9.09,0.0,0.0,9.09,9.09,18.18,27.27,0.0,0.0,9.09,9.09,0.0,0.1041,0.0968,0.0434,0.0978
9.09,0.0,9.09,0.0,0.0,27.27,0.0,18.18,9.09,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768,0.0926,0.0457,0.0652
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45,45.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.087,0.145,0.0725,0.0622
