AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
27.27,0.0,9.09,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0,9.09,9.09,0.0,0.0,0.0,0.0,18.18,0.0,9.09
0.0,54.55,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,18.18,0.0,0.0,0.0
0.0,0.0,9.09,18.18,9.09,9.09,9.09,0.0,0.0,9.09,9.09,0.0,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0
0.0,0.0,0.0,18.18,9.09,9.09,9.09,0.0,0.0,9.09,9.09,9.09,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0
0.0,0.0,9.09,18.18,18.18,9.09,0.0,0.0,0.0,9.09,9.09,9.09,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.09,18.18,9.09,9.09,0.0,0.0,0.0,9.09,9.09,9.09,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0
0.0,0.0,0.0,18.18,18.18,9.09,0.0,0.0,0.0,9.09,9.09,18.18,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.18,0.0,0.0,9.09,0.0,0.0,18.18,0.0,0.0,9.09,0.0,18.18,0.0,9.09,0.0,9.09,0.0,0.0,9.09
0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,9.09,0.0,0.0,9.09,9.09,18.18,27.27,0.0,0.0,9.09,9.09,0.0
9.09,0.0,9.09,0.0,0.0,27.27,0.0,18.18,9.09,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45,45.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0
0.0,18.18,9.09,0.0,0.0,0.0,9.09,0.0,0.0,18.18,9.09,9.09,9.09,0.0,0.0,9.09,9.09,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.09,0.0,18.18,0.0,27.27,0.0,9.09,18.18,0.0,9.09,0.0,9.09,0.0,0.0,0.0
0.0,0.0,0.0,0.0,18.18,9.09,0.0,0.0,9.09,9.09,9.09,0.0,18.18,18.18,9.09,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,9.09,36.36,0.0,0.0,0.0,0.0,9.09,18.18,9.09,0.0,0.0,0.0
0.0,0.0,0.0,9.09,18.18,9.09,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,18.18,9.09,18.18,0.0,9.09
8.33,0.0,8.33,0.0,0.0,8.33,8.33,16.67,16.67,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,16.67,25.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,8.33,0.0,0.0
8.33,0.0,0.0,0.0,8.33,8.33,0.0,8.33,8.33,33.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
0.0,0.0,0.0,0.0,16.67,8.33,0.0,0.0,16.67,41.67,0.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,0.0,0.0
16.67,0.0,0.0,0.0,8.33,8.33,0.0,0.0,0.0,25.0,0.0,0.0,8.33,0.0,8.33,8.33,0.0,16.67,0.0,0.0
8.33,0.0,8.33,0.0,0.0,16.67,8.33,8.33,16.67,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
8.33,0.0,8.33,0.0,0.0,16.67,0.0,16.67,16.67,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
8.33,0.0,0.0,0.0,0.0,16.67,8.33,16.67,16.67,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
